Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Isaiah McKenzie (13425124),Isaiah McKenzie,13425124,WR/FLEX,3100,NE@BUF 09/29/2019 01:00PM ET,BUF,2.6
WR,Keke Coutee (13425136),Keke Coutee,13425136,WR/FLEX,3100,CAR@HOU 09/29/2019 01:00PM ET,HOU,2.6
WR,DeAndre Carter (13425138),DeAndre Carter,13425138,WR/FLEX,3100,CAR@HOU 09/29/2019 01:00PM ET,HOU,0.1
TE,Jordan Akins (13425290),Jordan Akins,13425290,TE/FLEX,3100,CAR@HOU 09/29/2019 01:00PM ET,HOU,5.4
DST,Texans  (13425434),Texans,13425434,DST,3100,CAR@HOU 09/29/2019 01:00PM ET,HOU,6.7
WR,Chester Rogers (13425128),Chester Rogers,13425128,WR/FLEX,3100,OAK@IND 09/29/2019 01:00PM ET,IND,0.1
DST,Colts  (13425433),Colts,13425433,DST,3100,OAK@IND 09/29/2019 01:00PM ET,IND,6.4
RB,Wendell Smallwood (13424874),Wendell Smallwood,13424874,RB/FLEX,3100,WAS@NYG 09/29/2019 01:00PM ET,WAS,2.1
WR,Russell Shepard (13425130),Russell Shepard,13425130,WR/FLEX,3100,WAS@NYG 09/29/2019 01:00PM ET,NYG,1.3
WR,Josh Reynolds (13425134),Josh Reynolds,13425134,WR/FLEX,3100,TB@LAR 09/29/2019 04:05PM ET,LAR,1.7
TE,Adam Shaheen (13425288),Adam Shaheen,13425288,TE/FLEX,3100,MIN@CHI 09/29/2019 04:25PM ET,CHI,2.3
RB,Devontae Booker (13424866),Devontae Booker,13424866,RB/FLEX,3100,JAX@DEN 09/29/2019 04:25PM ET,DEN,0.5
WR,Justin Hardy (13425174),Justin Hardy,13425174,WR/FLEX,3000,TEN@ATL 09/29/2019 01:00PM ET,ATL,3
WR,Russell Gage (13425176),Russell Gage,13425176,WR/FLEX,3000,TEN@ATL 09/29/2019 01:00PM ET,ATL,0.8
WR,Darius Jennings (13425240),Darius Jennings,13425240,WR/FLEX,3000,TEN@ATL 09/29/2019 01:00PM ET,TEN,1.1
RB,D'Ernest Johnson (13424882),D'Ernest Johnson,13424882,RB/FLEX,3000,CLE@BAL 09/29/2019 01:00PM ET,CLE,6.7
WR,Miles Boykin (13425220),Miles Boykin,13425220,WR/FLEX,3000,CLE@BAL 09/29/2019 01:00PM ET,BAL,3.3
WR,Seth Roberts (13425222),Seth Roberts,13425222,WR/FLEX,3000,CLE@BAL 09/29/2019 01:00PM ET,BAL,1.9
WR,Jaleel Scott (13425224),Jaleel Scott,13425224,WR/FLEX,3000,CLE@BAL 09/29/2019 01:00PM ET,BAL,0
RB,Patrick DiMarco (13424878),Patrick DiMarco,13424878,RB/FLEX,3000,NE@BUF 09/29/2019 01:00PM ET,BUF,0.6
RB,Brandon Bolden (13424928),Brandon Bolden,13424928,RB/FLEX,3000,NE@BUF 09/29/2019 01:00PM ET,NE,1.4
RB,Ty Johnson (13424918),Ty Johnson,13424918,RB/FLEX,3000,KC@DET 09/29/2019 01:00PM ET,DET,6
RB,J.D. McKissic (13424920),J.D. McKissic,13424920,RB/FLEX,3000,KC@DET 09/29/2019 01:00PM ET,DET,1.5
RB,Nick Bawden (13424922),Nick Bawden,13424922,RB/FLEX,3000,KC@DET 09/29/2019 01:00PM ET,DET,0.6
WR,De'Anthony Thomas (13425168),De'Anthony Thomas,13425168,WR/FLEX,3000,KC@DET 09/29/2019 01:00PM ET,KC,2
DST,Chiefs  (13425435),Chiefs,13425435,DST,3000,KC@DET 09/29/2019 01:00PM ET,KC,7.2
RB,Reggie Bonnafon (13424924),Reggie Bonnafon,13424924,RB/FLEX,3000,CAR@HOU 09/29/2019 01:00PM ET,CAR,1.6
RB,Alex Armah (13424926),Alex Armah,13424926,RB/FLEX,3000,CAR@HOU 09/29/2019 01:00PM ET,CAR,0.5
WR,Jarius Wright (13425190),Jarius Wright,13425190,WR/FLEX,3000,CAR@HOU 09/29/2019 01:00PM ET,CAR,4
WR,Chris Hogan (13425192),Chris Hogan,13425192,WR/FLEX,3000,CAR@HOU 09/29/2019 01:00PM ET,CAR,1.7
RB,DeAndre Washington (13424932),DeAndre Washington,13424932,RB/FLEX,3000,OAK@IND 09/29/2019 01:00PM ET,OAK,2.4
WR,Dwayne Harris (13425206),Dwayne Harris,13425206,WR/FLEX,3000,OAK@IND 09/29/2019 01:00PM ET,OAK,0.2
WR,Keelan Doss (13425210),Keelan Doss,13425210,WR/FLEX,3000,OAK@IND 09/29/2019 01:00PM ET,OAK,3
RB,Troymaine Pope (13424890),Troymaine Pope,13424890,RB/FLEX,3000,LAC@MIA 09/29/2019 01:00PM ET,LAC,2.6
RB,Derek Watt (13424892),Derek Watt,13424892,RB/FLEX,3000,LAC@MIA 09/29/2019 01:00PM ET,LAC,0.3
RB,Mark Walton (13424898),Mark Walton,13424898,RB/FLEX,3000,LAC@MIA 09/29/2019 01:00PM ET,MIA,3
